i: 0, threads: 1, time: 0.000014
i: 1, threads: 1, time: 0.000003
i: 2, threads: 1, time: 0.000002
i: 3, threads: 1, time: 0.000002
i: 4, threads: 1, time: 0.000002
i: 5, threads: 1, time: 0.000002
i: 6, threads: 1, time: 0.000001
i: 7, threads: 1, time: 0.000069
i: 8, threads: 1, time: 0.000002
i: 9, threads: 1, time: 0.000002
i: 0, threads: 2, time: 0.000106
i: 1, threads: 2, time: 0.000004
i: 2, threads: 2, time: 0.000004
i: 3, threads: 2, time: 0.000004
i: 4, threads: 2, time: 0.000004
i: 5, threads: 2, time: 0.000004
i: 6, threads: 2, time: 0.000004
i: 7, threads: 2, time: 0.000005
i: 8, threads: 2, time: 0.000004
i: 9, threads: 2, time: 0.000004
i: 0, threads: 3, time: 0.003903
i: 1, threads: 3, time: 0.000007
i: 2, threads: 3, time: 0.000007
i: 3, threads: 3, time: 0.000007
i: 4, threads: 3, time: 0.000007
i: 5, threads: 3, time: 0.000006
i: 6, threads: 3, time: 0.000006
i: 7, threads: 3, time: 0.000010
i: 8, threads: 3, time: 0.000007
i: 9, threads: 3, time: 0.000006
i: 0, threads: 4, time: 0.000110
i: 1, threads: 4, time: 0.000008
i: 2, threads: 4, time: 0.000008
i: 3, threads: 4, time: 0.000010
i: 4, threads: 4, time: 0.000010
i: 5, threads: 4, time: 0.000009
i: 6, threads: 4, time: 0.000008
i: 7, threads: 4, time: 0.000007
i: 8, threads: 4, time: 0.000008
i: 9, threads: 4, time: 0.000008
i: 0, threads: 5, time: 0.000079
i: 1, threads: 5, time: 0.000006
i: 2, threads: 5, time: 0.000006
i: 3, threads: 5, time: 0.000007
i: 4, threads: 5, time: 0.000008
i: 5, threads: 5, time: 0.000008
i: 6, threads: 5, time: 0.000006
i: 7, threads: 5, time: 0.000008
i: 8, threads: 5, time: 0.000008
i: 9, threads: 5, time: 0.000007
i: 0, threads: 6, time: 0.000098
i: 1, threads: 6, time: 0.000008
i: 2, threads: 6, time: 0.000008
i: 3, threads: 6, time: 0.000009
i: 4, threads: 6, time: 0.000008
i: 5, threads: 6, time: 0.000007
i: 6, threads: 6, time: 0.000008
i: 7, threads: 6, time: 0.000008
i: 8, threads: 6, time: 0.000007
i: 9, threads: 6, time: 0.000012
i: 0, threads: 7, time: 0.000082
i: 1, threads: 7, time: 0.000009
i: 2, threads: 7, time: 0.000010
i: 3, threads: 7, time: 0.000009
i: 4, threads: 7, time: 0.000009
i: 5, threads: 7, time: 0.000009
i: 6, threads: 7, time: 0.000010
i: 7, threads: 7, time: 0.000009
i: 8, threads: 7, time: 0.000009
i: 9, threads: 7, time: 0.000010
i: 0, threads: 8, time: 0.000064
i: 1, threads: 8, time: 0.000008
i: 2, threads: 8, time: 0.000014
i: 3, threads: 8, time: 0.000008
i: 4, threads: 8, time: 0.000032
i: 5, threads: 8, time: 0.000031
i: 6, threads: 8, time: 0.000008
i: 7, threads: 8, time: 0.000008
i: 8, threads: 8, time: 0.000007
i: 9, threads: 8, time: 0.000008
